Altitude,Latitude,Longitude,B_r,B_phi,B_theta,B_magnitude
400.0,-89.9,-179.9,42927.48,7314.28,10705.23,44842.71
400.0,-89.9,-169.9,42921.67,9083.74,9281.83,44843.46
400.0,-89.9,-159.9,42914.02,10576.71,7575.78,44842.75
400.0,-89.9,-149.9,42904.75,11748.01,5639.06,44840.08
400.0,-89.9,-139.9,42894.16,12562.27,3530.60,44835.09
400.0,-89.9,-129.9,42882.55,12995.01,1314.42,44827.57
400.0,-89.9,-119.9,42870.28,13033.29,-942.22,44817.58
400.0,-89.9,-109.9,42857.70,12676.13,-3170.93,44805.38
400.0,-89.9,-99.9,42845.24,11934.47,-5304.21,44791.52
400.0,-89.9,-89.9,42833.23,10830.89,-7277.46,44776.72
400.0,-89.9,-79.9,42822.06,9398.86,-9030.98,44761.88
400.0,-89.9,-69.9,42812.06,7681.75,-10511.68,44747.93
400.0,-89.9,-59.9,42803.53,5731.54,-11674.71,44735.80
400.0,-89.9,-49.9,42796.74,3607.25,-12484.79,44726.32
400.0,-89.9,-39.9,42791.89,1373.20,-12917.31,44720.11
400.0,-89.9,-29.9,42789.12,-902.97,-12959.02,44717.57
400.0,-89.9,-19.9,42788.54,-3152.26,-12608.48,44718.78
400.0,-89.9,-9.9,42790.14,-5306.45,-11876.15,44723.56
400.0,-89.9,0.1,42793.88,-7300.10,-10784.01,44731.45
400.0,-89.9,10.1,42799.66,-9072.58,-9365.04,44741.78
400.0,-89.9,20.1,42807.30,-10569.91,-7662.13,44753.73
400.0,-89.9,30.1,42816.55,-11746.38,-5726.89,44766.41
400.0,-89.9,40.1,42827.16,-12566.03,-3618.05,44779.02
400.0,-89.9,50.1,42838.78,-13003.69,-1399.70,44790.80
400.0,-89.9,60.1,42851.07,-13045.84,860.65,44801.21
400.0,-89.9,70.1,42863.67,-12691.04,3094.16,44809.94
400.0,-89.9,80.1,42876.16,-11949.95,5232.75,44816.83
400.0,-89.9,90.1,42888.19,-10845.07,7211.19,44822.02
400.0,-89.9,100.1,42899.38,-9410.02,8969.14,44825.78
400.0,-89.9,110.1,42909.39,-7688.55,10452.98,44828.50
400.0,-89.9,120.1,42917.93,-5733.16,11617.48,44830.61
400.0,-89.9,130.1,42924.70,-3603.50,12427.19,44832.47
400.0,-89.9,140.1,42929.55,-1364.52,12857.54,44834.41
400.0,-89.9,150.1,42932.30,915.52,12895.53,44836.54
400.0,-89.9,160.1,42932.86,3167.18,12540.20,44838.80
400.0,-89.9,170.1,42931.23,5321.93,11802.55,44840.98
400.0,-84.9,-179.9,45968.09,7574.87,8447.85,47347.75
400.0,-84.9,-169.9,45653.31,9231.08,6940.69,47091.52
400.0,-84.9,-159.9,45254.36,10590.79,5193.57,46766.39
400.0,-84.9,-149.9,44783.94,11622.73,3261.76,46382.41
400.0,-84.9,-139.9,44256.13,12304.97,1202.88,45950.68
400.0,-84.9,-129.9,43686.12,12624.65,-924.10,45483.11
400.0,-84.9,-119.9,43089.80,12577.97,-3059.72,44992.21
400.0,-84.9,-109.9,42483.69,12170.37,-5145.02,44491.05
400.0,-84.9,-99.9,41884.43,11416.65,-7122.92,43992.97
400.0,-84.9,-89.9,41308.44,10340.73,-8939.82,43511.36
400.0,-84.9,-79.9,40771.46,8974.98,-10547.35,43059.36
400.0,-84.9,-69.9,40288.15,7358.83,-11903.73,42649.57
400.0,-84.9,-59.9,39871.79,5537.13,-12974.76,42293.78
400.0,-84.9,-49.9,39533.96,3558.34,-13734.00,42002.60
400.0,-84.9,-39.9,39284.53,1473.10,-14162.36,41785.36
400.0,-84.9,-29.9,39131.33,-666.54,-14247.38,41649.65
400.0,-84.9,-19.9,39080.30,-2807.28,-13982.67,41601.27
400.0,-84.9,-9.9,39135.06,-4894.19,-13367.84,41643.79
400.0,-84.9,0.1,39296.70,-6870.38,-12409.25,41778.25
400.0,-84.9,10.1,39563.38,-8677.07,-11121.46,42002.85
400.0,-84.9,20.1,39929.93,-10254.64,-9529.11,42312.66
400.0,-84.9,30.1,40387.54,-11544.81,-7668.69,42699.47
400.0,-84.9,40.1,40923.56,-12493.81,-5589.55,43151.79
400.0,-84.9,50.1,41521.80,-13056.37,-3353.84,43655.20
400.0,-84.9,60.1,42162.75,-13199.61,-1034.84,44192.74
400.0,-84.9,70.1,42824.51,-12906.77,1285.96,44745.70
400.0,-84.9,80.1,43483.82,-12179.54,3523.23,45294.56
400.0,-84.9,90.1,44117.07,-11039.15,5592.67,45819.82
400.0,-84.9,100.1,44701.75,-9525.75,7416.19,46303.20
400.0,-84.9,110.1,45217.48,-7696.09,8926.56,46728.30
400.0,-84.9,120.1,45647.13,-5619.99,10071.14,47081.55
400.0,-84.9,130.1,45977.38,-3375.95,10814.23,47352.55
400.0,-84.9,140.1,46199.19,-1046.34,11137.98,47534.36
400.0,-84.9,150.1,46307.93,1287.05,11041.85,47623.55
400.0,-84.9,160.1,46303.04,3546.89,10540.89,47619.98
400.0,-84.9,170.1,46187.65,5663.14,9663.35,47526.31
400.0,-79.9,-179.9,48349.64,7838.52,5680.38,49309.20
400.0,-79.9,-169.9,47694.77,9355.14,4146.48,48780.15
400.0,-79.9,-159.9,46897.36,10571.89,2432.26,48135.67
400.0,-79.9,-149.9,45980.76,11472.95,585.93,47394.12
400.0,-79.9,-139.9,44968.75,12046.57,-1346.62,46573.84
400.0,-79.9,-129.9,43886.32,12283.68,-3319.51,45693.73
400.0,-79.9,-119.9,42760.32,12178.74,-5284.54,44773.80
400.0,-79.9,-109.9,41619.94,11732.51,-7189.85,43835.66
400.0,-79.9,-99.9,40496.02,10955.71,-8980.94,42902.36
400.0,-79.9,-89.9,39420.03,9871.93,-10604.17,41998.12
400.0,-79.9,-79.9,38421.90,8518.06,-12011.85,41147.11
400.0,-79.9,-69.9,37528.25,6941.53,-13167.41,40372.46
400.0,-79.9,-59.9,36761.11,5194.61,-14048.30,39695.32
400.0,-79.9,-49.9,36137.84,3327.97,-14645.41,39134.48
400.0,-79.9,-39.9,35672.10,1385.61,-14959.03,38706.47
400.0,-79.9,-29.9,35375.32,-596.74,-14992.67,38425.89
400.0,-79.9,-19.9,35258.04,-2589.02,-14747.33,38305.56
400.0,-79.9,-9.9,35330.38,-4561.24,-14218.50,38356.30
400.0,-79.9,0.1,35601.23,-6476.87,-13396.87,38585.92
400.0,-79.9,10.1,36076.19,-8287.60,-12273.06,38997.48
400.0,-79.9,20.1,36754.80,-9931.63,-10844.79,39587.40
400.0,-79.9,30.1,37628.01,-11336.06,-9124.51,40343.90
400.0,-79.9,40.1,38676.20,-12423.36,-7145.38,41246.14
400.0,-79.9,50.1,39868.32,-13120.27,-4963.98,42264.24
400.0,-79.9,60.1,41162.80,-13367.53,-2659.09,43360.55
400.0,-79.9,70.1,42509.59,-13128.33,-326.66,44491.85
400.0,-79.9,80.1,43853.45,-12394.24,1927.99,45612.05
400.0,-79.9,90.1,45138.02,-11187.60,3999.46,46675.46
400.0,-79.9,100.1,46309.86,-9560.26,5791.72,47639.75
400.0,-79.9,110.1,47322.49,-7588.93,7226.26,48468.84
400.0,-79.9,120.1,48139.49,-5367.80,8248.05,49135.06
400.0,-79.9,130.1,48736.31,-2999.66,8828.30,49620.21
400.0,-79.9,140.1,49100.83,-586.98,8964.10,49915.84
400.0,-79.9,150.1,49232.32,1775.84,8675.16,50022.33
400.0,-79.9,160.1,49139.71,4007.96,7998.50,49947.48
400.0,-79.9,170.1,48838.73,6044.88,6982.40,49704.29
400.0,-74.9,-179.9,49913.32,8026.41,2559.11,50619.29
400.0,-74.9,-169.9,48909.57,9373.38,1059.81,49810.94
400.0,-74.9,-159.9,47733.94,10431.26,-551.59,48863.53
400.0,-74.9,-149.9,46414.58,11201.91,-2239.79,47799.71
400.0,-74.9,-139.9,44976.65,11683.20,-3977.21,46639.19
400.0,-74.9,-129.9,43446.11,11865.33,-5737.59,45401.21
400.0,-74.9,-119.9,41853.86,11732.28,-7488.46,44107.47
400.0,-74.9,-109.9,40238.92,11268.79,-9185.25,42784.63
400.0,-74.9,-99.9,38648.50,10471.17,-10770.40,41465.09
400.0,-74.9,-89.9,37134.50,9357.81,-12179.68,40185.62
400.0,-74.9,-79.9,35746.84,7973.88,-13354.18,38984.02
400.0,-74.9,-69.9,34526.43,6386.83,-14254.04,37895.17
400.0,-74.9,-59.9,33500.41,4672.70,-14867.43,36947.96
400.0,-74.9,-49.9,32682.23,2898.70,-15210.08,36164.58
400.0,-74.9,-39.9,32076.48,1109.20,-15314.88,35562.29
400.0,-74.9,-29.9,31686.36,-678.51,-15215.66,35156.82
400.0,-74.9,-19.9,31520.41,-2467.25,-14931.86,34965.47
400.0,-74.9,-9.9,31595.63,-4264.74,-14459.88,35008.00
400.0,-74.9,0.1,31935.70,-6066.25,-13774.19,35304.62
400.0,-74.9,10.1,32565.08,-7840.99,-12836.91,35871.32
400.0,-74.9,20.1,33500.72,-9526.35,-11612.90,36713.88
400.0,-74.9,30.1,34743.85,-11031.52,-10085.59,37822.59
400.0,-74.9,40.1,36273.90,-12249.32,-8269.32,39169.16
400.0,-74.9,50.1,38046.20,-13073.01,-6214.87,40706.78
400.0,-74.9,60.1,39993.46,-13413.63,-4007.17,42372.87
400.0,-74.9,70.1,42030.58,-13214.02,-1756.63,44093.83
400.0,-74.9,80.1,44061.81,-12457.49,413.33,45790.86
400.0,-74.9,90.1,45989.04,-11170.68,2380.16,47386.09
400.0,-74.9,100.1,47720.64,-9420.85,4035.35,48808.77
400.0,-74.9,110.1,49179.59,-7308.15,5295.49,50000.84
400.0,-74.9,120.1,50310.04,-4953.73,6109.62,50921.18
400.0,-74.9,130.1,51080.75,-2485.68,6461.65,51547.79
400.0,-74.9,140.1,51484.97,-25.40,6367.68,51877.26
400.0,-74.9,150.1,51537.07,2323.21,5869.33,51922.21
400.0,-74.9,160.1,51266.57,4480.16,5024.87,51706.70
400.0,-74.9,170.1,50711.77,6391.35,3899.90,51261.51
400.0,-69.9,-179.9,50588.12,8129.79,-728.87,51242.39
400.0,-69.9,-169.9,49250.20,9292.48,-2137.60,50164.75
400.0,-69.9,-159.9,47739.77,10184.00,-3591.79,48945.89
400.0,-69.9,-149.9,46083.59,10825.24,-5068.63,47608.55
400.0,-69.9,-139.9,44298.81,11225.29,-6559.20,46167.25
400.0,-69.9,-129.9,42401.38,11373.49,-8059.24,44633.89
400.0,-69.9,-119.9,40416.94,11239.03,-9556.10,43025.15
400.0,-69.9,-109.9,38390.26,10781.50,-11015.75,41369.06
400.0,-69.9,-99.9,36388.24,9971.66,-12376.91,39708.00
400.0,-69.9,-89.9,34493.48,8814.96,-13558.55,38096.43
400.0,-69.9,-79.9,32788.20,7365.78,-14480.88,36592.58
400.0,-69.9,-69.9,31335.12,5722.36,-15092.26,35247.86
400.0,-69.9,-59.9,30164.03,4001.05,-15388.88,34098.31
400.0,-69.9,-49.9,29271.52,2300.37,-15416.11,33162.78
400.0,-69.9,-39.9,28634.13,671.70,-15249.22,32448.47
400.0,-69.9,-29.9,28229.21,-889.31,-14962.41,31961.75
400.0,-69.9,-19.9,28053.03,-2427.97,-14600.55,31718.19
400.0,-69.9,-9.9,28129.01,-4000.84,-14164.25,31747.03
400.0,-69.9,0.1,28503.73,-5643.95,-13611.98,32087.43
400.0,-69.9,10.1,29233.47,-7348.79,-12875.82,32777.85
400.0,-69.9,20.1,30366.26,-9052.06,-11885.47,33842.49
400.0,-69.9,30.1,31924.19,-10641.21,-10593.74,35279.12
400.0,-69.9,40.1,33890.98,-11974.01,-8996.28,37052.78
400.0,-69.9,50.1,36207.51,-12906.40,-7139.60,39096.45
400.0,-69.9,60.1,38775.95,-13319.63,-5116.02,41317.80
400.0,-69.9,70.1,41469.96,-13139.57,-3048.79,43608.50
400.0,-69.9,80.1,44147.27,-12345.99,-1073.89,45853.66
400.0,-69.9,90.1,46663.11,-10973.63,677.46,47940.85
400.0,-69.9,100.1,48884.05,-9107.49,2093.95,49769.28
400.0,-69.9,110.1,50701.70,-6872.03,3096.46,51258.90
400.0,-69.9,120.1,52043.62,-4414.60,3645.56,52357.59
400.0,-69.9,130.1,52878.75,-1885.64,3742.08,53044.52
400.0,-69.9,140.1,53215.17,579.35,3420.92,53328.16
400.0,-69.9,150.1,53092.27,2872.28,2740.90,53240.50
400.0,-69.9,160.1,52569.08,4918.04,1773.68,52828.41
400.0,-69.9,170.1,51712.73,6674.76,593.97,52145.10
400.0,-64.9,-179.9,50396.98,8148.69,-4005.19,51208.38
400.0,-64.9,-169.9,48757.69,9128.54,-5280.30,49885.11
400.0,-64.9,-159.9,46968.68,9855.13,-6544.80,48435.68
400.0,-64.9,-149.9,45052.07,10368.08,-7783.12,46880.31
400.0,-64.9,-139.9,43010.61,10690.37,-8999.14,45223.67
400.0,-64.9,-129.9,40840.62,10814.24,-10207.49,43463.75
400.0,-64.9,-119.9,38551.28,10695.29,-11416.78,41604.49
400.0,-64.9,-109.9,36185.63,10263.36,-12608.50,39670.02
400.0,-64.9,-99.9,33831.68,9453.93,-13722.40,37712.91
400.0,-64.9,-89.9,31613.65,8249.96,-14661.53,35811.24
400.0,-64.9,-79.9,29661.84,6712.34,-15321.10,34053.14
400.0,-64.9,-69.9,28072.43,4977.61,-15631.50,32514.33
400.0,-64.9,-59.9,26877.52,3216.97,-15593.02,31239.27
400.0,-64.9,-49.9,26042.45,1573.65,-15281.18,30235.74
400.0,-64.9,-39.9,25493.49,111.30,-14817.05,29486.86
400.0,-64.9,-29.9,25161.95,-1199.61,-14318.41,28975.50
400.0,-64.9,-19.9,25021.00,-2454.43,-13857.42,28707.19
400.0,-64.9,-9.9,25100.30,-3765.56,-13441.21,28720.56
400.0,-64.9,0.1,25477.09,-5214.97,-13015.87,29080.77
400.0,-64.9,10.1,26251.91,-6820.06,-12486.96,29859.68
400.0,-64.9,20.1,27517.07,-8517.93,-11750.70,31109.86
400.0,-64.9,30.1,29325.75,-10171.77,-10729.28,32841.77
400.0,-64.9,40.1,31669.59,-11599.57,-9399.80,35012.42
400.0,-64.9,50.1,34472.18,-12616.70,-7805.89,37529.24
400.0,-64.9,60.1,37598.78,-13076.11,-6048.31,40264.56
400.0,-64.9,70.1,40876.31,-12892.84,-4260.92,43072.66
400.0,-64.9,80.1,44113.84,-12049.98,-2585.02,45803.01
400.0,-64.9,90.1,47120.39,-10594.74,-1149.67,48310.47
400.0,-64.9,100.1,49722.57,-8631.13,-57.25,50466.17
400.0,-64.9,110.1,51784.19,-6307.03,628.09,52170.63
400.0,-64.9,120.1,53222.82,-3792.33,886.14,53365.11
400.0,-64.9,130.1,54016.12,-1253.10,736.98,54035.68
400.0,-64.9,140.1,54195.58,1169.55,229.90,54208.69
400.0,-64.9,150.1,53831.12,3370.53,-569.40,53939.55
400.0,-64.9,160.1,53013.67,5282.90,-1588.85,53299.93
400.0,-64.9,170.1,51839.36,6875.43,-2756.37,52365.91
400.0,-59.9,-179.9,49436.07,8090.30,-7136.94,50599.54
400.0,-59.9,-169.9,47538.09,8902.02,-8249.99,49063.00
400.0,-59.9,-159.9,45527.58,9473.70,-9312.84,47426.16
400.0,-59.9,-149.9,43423.68,9861.07,-10310.61,45707.39
400.0,-59.9,-139.9,41214.32,10102.58,-11250.74,43900.58
400.0,-59.9,-129.9,38870.64,10199.26,-12158.10,41985.37
400.0,-59.9,-119.9,36375.36,10099.32,-13059.23,39946.30
400.0,-59.9,-109.9,33759.00,9704.17,-13954.92,37796.57
400.0,-59.9,-99.9,31126.75,8908.23,-14794.58,35596.50
400.0,-59.9,-89.9,28651.14,7662.36,-15473.41,33451.84
400.0,-59.9,-79.9,26525.04,6027.70,-15864.86,31489.76
400.0,-59.9,-69.9,24891.62,4181.74,-15879.16,29819.92
400.0,-59.9,-59.9,23787.51,2360.93,-15516.23,28498.64
400.0,-59.9,-49.9,23134.02,763.65,-14877.62,27515.63
400.0,-59.9,-39.9,22786.11,-530.96,-14126.03,26814.80
400.0,-59.9,-29.9,22610.68,-1580.72,-13417.66,26339.61
400.0,-59.9,-19.9,22549.03,-2534.20,-12848.70,26076.23
400.0,-59.9,-9.9,22636.45,-3560.15,-12435.63,26071.60
400.0,-59.9,0.1,22985.49,-4787.55,-12121.26,26423.07
400.0,-59.9,10.1,23749.69,-6263.82,-11794.34,27246.82
400.0,-59.9,20.1,25077.38,-7930.71,-11322.89,28635.28
400.0,-59.9,30.1,27063.11,-9627.58,-10598.83,30617.59
400.0,-59.9,40.1,29710.49,-11128.92,-9578.95,33140.95
